State,Year,Population (millions),Annual Rainfall (mm),Agricultural Land (sq km),Industrial Water Usage (billion liters),Domestic Water Usage (billion liters),Groundwater Level (meters below surface),Reservoir Capacity (%),Total Water Consumption (billion liters),Water Shortage Risk
Kerala,2010,92.88,2629.7,166303.5,426.03,82.21,22.6,96.9,508.24,No
Assam,2005,2.63,956.0,159026.3,406.64,294.11,39.6,11.3,700.75,Yes
Uttarakhand,2025,208.87,683.0,27701.3,200.17,274.39,2.4,67.0,474.56,No
Maharashtra,2005,32.88,1732.1,13205.5,246.59,123.22,40.9,43.2,369.81,No
Goa,2017,49.63,2398.5,71510.3,439.93,130.13,35.9,20.2,570.06,No
Maharashtra,2025,151.2,922.6,99871.6,182.16,155.46,36.0,91.1,337.62,No
Tamil Nadu,2021,34.05,922.2,134916.9,214.86,128.18,45.7,29.4,343.04,Yes
Haryana,2019,20.05,630.7,107968.0,415.55,56.32,49.3,10.1,471.87,Yes
Madhya Pradesh,2015,121.96,864.1,58248.8,491.0,162.41,41.9,27.1,653.41,Yes
Maharashtra,2009,211.1,1293.1,182117.0,497.93,63.83,25.8,90.2,561.76,No
Bihar,2021,22.27,2842.3,58196.2,115.72,130.74,1.9,54.0,246.46,No
Goa,2009,228.72,3214.3,91886.6,269.52,75.08,34.7,64.5,344.6,No
Mizoram,2019,46.85,1331.3,23833.1,491.36,60.53,17.2,84.4,551.89,No
Haryana,2000,149.56,3247.7,163199.3,77.0,71.01,30.8,24.1,148.01,No
Arunachal Pradesh,2004,215.81,778.2,127483.4,471.7,39.83,46.6,9.8,511.53,Yes
Arunachal Pradesh,2006,106.33,3174.5,115461.8,134.9,153.53,37.3,75.6,288.43,No
Assam,2005,2.63,956.0,159026.3,406.64,294.11,39.6,11.3,700.75,Yes
Gujarat,2008,215.93,575.9,118573.9,282.27,98.33,30.2,9.1,380.6,Yes
Madhya Pradesh,2009,46.0,3112.2,144676.7,498.76,215.34,17.7,31.9,714.1,No
Arunachal Pradesh,2015,168.2,3294.6,125812.0,159.2,109.59,42.7,86.5,268.79,No
Bihar,2020,23.87,1596.2,31267.5,253.06,214.59,19.9,87.8,467.65,No
Arunachal Pradesh,2012,208.5,3750.0,179579.0,403.46,109.09,18.4,45.7,512.55,No
Tripura,2004,28.78,1383.7,127311.5,276.45,202.48,9.9,43.8,478.93,No
Bihar,2014,49.85,3327.9,73927.4,136.44,202.88,20.3,45.9,339.32,No
Odisha,2001,230.25,624.1,63524.7,94.17,248.96,36.6,27.5,343.13,Yes
Kerala,2000,216.48,883.0,126045.4,49.26,296.31,43.3,26.1,345.57,Yes
Himachal Pradesh,2013,185.88,1083.9,42204.1,172.15,294.05,28.3,28.7,466.2,No
Meghalaya,2004,119.76,1687.8,145992.0,455.33,86.21,1.9,7.9,541.54,No
Karnataka,2004,186.25,893.1,91610.2,130.49,212.97,33.6,25.1,343.46,Yes
Gujarat,2004,102.63,1606.8,189194.5,312.52,45.81,35.9,28.8,358.33,No
Nagaland,2002,9.71,647.8,168530.9,190.74,272.78,47.0,45.9,463.52,No
Jharkhand,2025,151.49,1782.1,43574.6,83.93,154.45,41.8,96.8,238.38,No
Himachal Pradesh,2003,219.31,1197.9,162548.8,393.79,106.84,5.9,74.6,500.63,No
Tripura,2022,126.77,2600.4,191215.2,205.76,27.3,40.2,68.2,233.06,No
Tamil Nadu,2020,182.26,501.4,10698.6,170.9,242.86,41.9,93.1,413.76,No
Karnataka,2015,111.66,3977.6,118409.4,242.83,43.53,43.5,19.0,286.36,No
Gujarat,2012,126.28,1730.5,128793.6,437.5,165.43,7.5,22.6,602.93,No
Haryana,2025,55.14,816.5,110653.3,486.33,146.38,40.8,12.0,632.71,Yes
Arunachal Pradesh,2004,215.81,778.2,127483.4,471.7,39.83,46.6,9.8,511.53,Yes
Chhattisgarh,2006,76.91,927.6,144172.3,153.94,107.76,31.6,30.3,261.7,No
Arunachal Pradesh,2018,125.75,2797.0,27549.2,223.42,91.12,43.1,85.4,314.54,No
Tripura,2012,124.42,2702.1,178173.8,143.93,276.26,22.0,32.4,420.19,No
West Bengal,2009,177.66,951.1,83430.0,115.84,188.31,39.2,11.2,304.15,Yes
Andhra Pradesh,2012,38.76,3860.1,163144.9,328.97,122.49,26.5,50.9,451.46,No
Kerala,2023,20.27,751.5,87356.7,219.28,252.23,37.3,28.5,471.51,Yes
Telangana,2025,114.8,2899.8,7021.4,41.61,246.31,46.3,9.3,287.92,No
Himachal Pradesh,2003,170.25,3858.5,84912.8,373.02,91.32,19.6,99.4,464.34,No
Assam,2005,2.63,956.0,159026.3,406.64,294.11,39.6,11.3,700.75,Yes
Assam,2007,36.26,645.7,126678.4,481.94,160.46,40.4,20.6,642.4,Yes
Andhra Pradesh,2025,223.4,503.9,160385.5,450.91,49.62,33.9,21.1,500.53,Yes
Madhya Pradesh,2020,42.34,743.0,80347.1,392.8,283.97,41.9,21.2,676.77,Yes
Goa,2023,174.8,3430.3,33432.8,40.14,33.67,23.1,90.2,73.81,No
Assam,2025,127.47,763.6,116815.5,103.37,229.65,48.7,19.7,333.02,Yes
Andhra Pradesh,2014,86.53,953.3,131446.3,284.87,267.74,5.4,84.1,552.61,No
Madhya Pradesh,2006,12.33,2773.1,115870.6,340.5,262.65,29.8,34.9,603.15,No
Karnataka,2004,186.25,893.1,91610.2,130.49,212.97,33.6,25.1,343.46,Yes
Chhattisgarh,2012,30.56,2778.1,160020.9,263.5,194.78,18.1,6.1,458.28,No
Himachal Pradesh,2003,199.84,1734.1,17665.8,16.62,179.79,39.9,47.0,196.41,No
Rajasthan,2006,47.51,671.8,34630.8,211.17,185.65,21.9,87.9,396.82,No
Bihar,2001,104.49,2828.1,190382.2,56.54,14.83,37.4,57.9,71.37,No
Assam,2007,36.26,645.7,126678.4,481.94,160.46,40.4,20.6,642.4,Yes
Chhattisgarh,2021,204.2,2314.9,191558.4,379.04,121.75,4.7,24.3,500.79,No
Tamil Nadu,2017,160.48,3576.2,57130.6,193.66,143.9,5.4,63.4,337.56,No
Nagaland,2004,140.25,983.1,150743.3,251.87,201.92,41.0,28.2,453.79,Yes
Tripura,2004,161.58,2640.7,51872.9,240.86,62.49,24.6,66.9,303.35,No
Manipur,2021,212.25,2081.0,2960.8,96.51,216.78,41.2,99.6,313.29,No
Haryana,2019,20.05,630.7,107968.0,415.55,56.32,49.3,10.1,471.87,Yes
Jharkhand,2010,184.8,1659.0,150856.7,151.8,101.16,5.4,77.3,252.96,No
Tamil Nadu,2021,125.25,538.2,194410.5,274.2,54.92,14.8,59.1,329.12,No
Maharashtra,2022,204.77,2419.8,71027.1,349.53,151.79,28.1,34.8,501.32,No
Gujarat,2008,215.93,575.9,118573.9,282.27,98.33,30.2,9.1,380.6,Yes
Uttar Pradesh,2001,12.57,681.8,18038.9,240.07,132.01,44.3,23.1,372.08,Yes
Sikkim,2017,247.94,2449.9,133671.0,246.45,34.19,15.5,93.1,280.64,No
Manipur,2017,72.03,3564.0,30885.7,32.67,140.0,6.1,9.4,172.67,No
Uttar Pradesh,2009,136.09,3402.8,143992.2,58.16,186.62,8.9,50.5,244.78,No
Himachal Pradesh,2007,187.17,787.8,35019.5,428.37,190.33,33.8,7.8,618.7,Yes
Nagaland,2011,79.7,622.4,102261.0,145.95,40.66,10.4,93.0,186.61,No
Uttar Pradesh,2008,211.25,1869.8,83855.0,258.19,66.75,19.6,70.0,324.94,No
Himachal Pradesh,2007,187.17,787.8,35019.5,428.37,190.33,33.8,7.8,618.7,Yes
Nagaland,2011,79.7,622.4,102261.0,145.95,40.66,10.4,93.0,186.61,No
Tamil Nadu,2022,94.44,884.2,15433.3,250.3,136.68,37.3,27.3,386.98,Yes
Jharkhand,2006,78.6,2330.4,35699.3,42.47,278.58,15.5,5.5,321.05,No
Madhya Pradesh,2009,60.95,957.0,79678.0,259.11,139.69,43.1,7.6,398.8,Yes
Gujarat,2016,167.25,1200.4,153147.7,374.23,214.17,27.9,56.9,588.4,No
West Bengal,2000,173.86,1109.6,97087.4,392.68,174.8,34.8,50.1,567.48,No
Karnataka,2011,80.72,3276.4,123188.8,95.93,53.25,42.6,86.1,149.18,No
Punjab,2007,195.62,3295.8,153513.1,454.06,267.08,36.5,46.8,721.14,No
Madhya Pradesh,2018,147.65,3581.9,73566.6,434.33,162.9,18.4,36.7,597.23,No
Himachal Pradesh,2003,198.61,3642.2,10939.8,360.23,38.54,1.4,39.5,398.77,No
Meghalaya,2018,111.79,3612.2,106208.9,476.68,291.33,22.8,95.3,768.01,No
Kerala,2003,132.38,911.0,42214.4,363.17,54.66,40.0,60.7,417.83,No
Punjab,2006,222.09,522.1,76094.1,219.51,97.37,45.3,26.7,316.88,Yes
Kerala,2023,20.27,751.5,87356.7,219.28,252.23,37.3,28.5,471.51,Yes
Meghalaya,2019,43.94,1162.6,125784.9,407.24,92.99,6.9,97.7,500.23,No
Jharkhand,2025,138.01,1399.8,26943.9,369.83,205.53,34.1,51.3,575.36,No
Bihar,2007,44.94,2965.0,1714.3,478.2,285.98,27.4,92.1,764.18,No
Haryana,2025,55.14,816.5,110653.3,486.33,146.38,40.8,12.0,632.71,Yes
Chhattisgarh,2002,94.05,868.2,146354.3,378.86,244.61,38.2,5.1,623.47,Yes
Meghalaya,2019,77.49,2897.2,34262.7,257.45,236.37,4.3,74.3,493.82,No
Gujarat,2018,31.09,840.5,189975.0,51.06,209.37,23.2,29.9,260.43,No
Tamil Nadu,2011,91.92,3892.5,8793.4,459.66,62.68,12.0,6.8,522.34,No
Karnataka,2020,68.12,3888.4,121571.7,218.05,124.96,2.7,10.5,343.01,No
Kerala,2023,20.27,751.5,87356.7,219.28,252.23,37.3,28.5,471.51,Yes
Uttarakhand,2012,15.16,936.8,109989.3,233.45,2.86,34.2,37.8,236.31,No
Jharkhand,2023,160.03,3542.4,194363.1,351.66,239.25,21.0,32.4,590.91,No
Nagaland,2001,168.66,3565.3,27757.7,480.73,21.97,8.0,84.0,502.7,No
Telangana,2017,188.87,942.7,39267.3,384.91,98.42,36.0,23.0,483.33,Yes
Tamil Nadu,2013,179.34,997.0,51865.1,143.82,240.53,35.0,16.7,384.35,Yes
Odisha,2019,208.13,811.4,120726.8,405.72,113.18,43.9,7.9,518.9,Yes
Meghalaya,2019,220.94,2054.3,19947.7,347.51,75.87,44.1,69.1,423.38,No
Goa,2025,246.09,1020.1,8568.4,230.95,151.7,6.8,68.6,382.65,No
Andhra Pradesh,2014,7.5,1242.5,154141.6,229.17,204.22,38.5,64.8,433.39,No
Gujarat,2008,215.93,575.9,118573.9,282.27,98.33,30.2,9.1,380.6,Yes
Kerala,2023,20.27,751.5,87356.7,219.28,252.23,37.3,28.5,471.51,Yes
Mizoram,2001,186.82,3132.7,34781.8,439.39,127.38,15.9,95.3,566.77,No
Haryana,2009,224.32,1450.7,17584.4,33.23,115.76,19.6,66.3,148.99,No
West Bengal,2009,177.66,951.1,83430.0,115.84,188.31,39.2,11.2,304.15,Yes
Manipur,2011,41.21,2670.4,56580.8,422.16,281.87,30.7,30.1,704.03,No
Kerala,2017,183.02,620.7,178552.4,199.32,110.33,24.9,27.7,309.65,No
Mizoram,2003,50.66,566.9,193488.8,330.91,86.58,36.4,5.1,417.49,Yes
Haryana,2019,20.05,630.7,107968.0,415.55,56.32,49.3,10.1,471.87,Yes
Madhya Pradesh,2015,121.96,864.1,58248.8,491.0,162.41,41.9,27.1,653.41,Yes
Himachal Pradesh,2013,161.8,2869.2,10260.6,485.73,150.96,4.1,25.5,636.69,No
Assam,2009,112.36,2391.2,9125.0,476.03,176.3,17.0,91.3,652.33,No
Gujarat,2008,215.93,575.9,118573.9,282.27,98.33,30.2,9.1,380.6,Yes
Assam,2025,127.47,763.6,116815.5,103.37,229.65,48.7,19.7,333.02,Yes
Meghalaya,2010,148.01,1096.0,160748.8,418.31,43.97,30.0,89.2,462.28,No
Arunachal Pradesh,2000,105.75,893.1,103385.7,497.16,268.41,47.6,18.9,765.57,Yes
Haryana,2017,101.92,1832.1,142862.0,142.08,47.26,8.5,73.2,189.34,No
Assam,2007,36.26,645.7,126678.4,481.94,160.46,40.4,20.6,642.4,Yes
Karnataka,2016,37.51,3862.1,64803.6,173.69,25.09,11.4,15.0,198.78,No
Himachal Pradesh,2002,144.93,1584.0,136123.6,71.75,67.8,37.0,55.3,139.55,No
Telangana,2017,188.87,942.7,39267.3,384.91,98.42,36.0,23.0,483.33,Yes
West Bengal,2009,177.66,951.1,83430.0,115.84,188.31,39.2,11.2,304.15,Yes
Manipur,2025,202.3,948.8,23578.4,318.55,159.05,48.3,13.1,477.6,Yes
Telangana,2005,200.17,2830.9,34831.5,357.63,168.98,22.4,57.6,526.61,No
Assam,2013,205.13,733.2,64394.1,387.14,19.1,31.5,24.6,406.24,Yes
Telangana,2017,188.87,942.7,39267.3,384.91,98.42,36.0,23.0,483.33,Yes
Assam,2007,36.26,645.7,126678.4,481.94,160.46,40.4,20.6,642.4,Yes
Madhya Pradesh,2014,8.85,3290.7,192140.1,315.17,209.56,14.3,49.9,524.73,No
Chhattisgarh,2002,94.05,868.2,146354.3,378.86,244.61,38.2,5.1,623.47,Yes
Andhra Pradesh,2018,181.91,2955.1,53107.8,72.75,71.75,18.8,65.4,144.5,No
Assam,2007,36.26,645.7,126678.4,481.94,160.46,40.4,20.6,642.4,Yes
Odisha,2019,208.13,811.4,120726.8,405.72,113.18,43.9,7.9,518.9,Yes
Arunachal Pradesh,2022,247.9,2011.8,27467.6,427.23,176.65,33.0,33.4,603.88,No
Odisha,2008,204.89,1002.4,132565.1,429.28,61.11,21.2,69.9,490.39,No
Tripura,2001,25.61,3956.4,82969.9,93.35,232.61,38.5,94.9,325.96,No
Karnataka,2011,65.63,1290.6,80717.6,496.01,91.85,17.8,67.6,587.86,No
Nagaland,2006,207.51,2015.8,50043.0,477.55,116.6,2.7,43.1,594.15,No
Chhattisgarh,2001,22.38,1688.0,48543.3,13.96,296.55,5.4,56.4,310.51,No
Assam,2007,36.26,645.7,126678.4,481.94,160.46,40.4,20.6,642.4,Yes
Uttarakhand,2013,217.18,1211.3,131802.4,338.06,114.99,39.7,49.3,453.05,No
Telangana,2013,17.31,2879.3,25906.9,238.23,259.41,45.9,61.6,497.64,No
Tamil Nadu,2019,17.78,2513.5,102328.2,176.56,279.83,44.8,72.8,456.39,No
Karnataka,2005,66.43,2160.8,136483.9,270.67,163.24,4.5,20.6,433.91,No
Arunachal Pradesh,2004,215.81,778.2,127483.4,471.7,39.83,46.6,9.8,511.53,Yes
Goa,2007,195.25,2717.1,130930.4,132.97,17.23,47.9,90.5,150.2,No
Himachal Pradesh,2009,108.1,938.1,168226.0,401.2,242.22,21.8,37.5,643.42,No
Maharashtra,2004,103.44,3316.1,77110.8,291.11,285.8,33.7,54.2,576.91,No
Bihar,2000,193.74,3059.6,137711.8,172.02,114.37,23.4,76.1,286.39,No
Uttar Pradesh,2001,12.57,681.8,18038.9,240.07,132.01,44.3,23.1,372.08,Yes
Uttar Pradesh,2010,212.24,2599.6,12669.6,245.58,125.27,9.2,59.8,370.85,No
Assam,2013,205.13,733.2,64394.1,387.14,19.1,31.5,24.6,406.24,Yes
Tripura,2023,154.35,1708.4,112359.6,146.15,258.14,43.9,21.7,404.29,No
Nagaland,2003,222.38,1445.9,47673.9,186.26,144.13,24.0,17.9,330.39,No
Andhra Pradesh,2025,57.92,1487.6,43239.1,233.93,108.25,5.5,48.6,342.18,No
Mizoram,2020,171.89,2403.6,45825.6,191.99,64.87,41.3,92.3,256.86,No
Tamil Nadu,2022,94.44,884.2,15433.3,250.3,136.68,37.3,27.3,386.98,Yes
Himachal Pradesh,2000,98.67,1180.3,57911.4,44.5,20.26,13.0,85.5,64.76,No
Himachal Pradesh,2023,230.61,1742.8,106179.8,97.66,190.56,10.5,48.2,288.22,No
Odisha,2019,208.13,811.4,120726.8,405.72,113.18,43.9,7.9,518.9,Yes
Manipur,2010,146.97,1667.9,63791.8,167.07,214.5,42.4,29.1,381.57,No
West Bengal,2009,177.66,951.1,83430.0,115.84,188.31,39.2,11.2,304.15,Yes
Uttar Pradesh,2001,12.57,681.8,18038.9,240.07,132.01,44.3,23.1,372.08,Yes
Assam,2007,36.26,645.7,126678.4,481.94,160.46,40.4,20.6,642.4,Yes
Telangana,2006,94.98,1228.9,30231.0,486.61,284.1,39.9,27.5,770.71,No
Madhya Pradesh,2019,152.61,3993.1,178694.7,239.39,295.75,14.6,14.4,535.14,No
Telangana,2017,188.87,942.7,39267.3,384.91,98.42,36.0,23.0,483.33,Yes
Tamil Nadu,2022,94.44,884.2,15433.3,250.3,136.68,37.3,27.3,386.98,Yes
Madhya Pradesh,2015,121.96,864.1,58248.8,491.0,162.41,41.9,27.1,653.41,Yes
Madhya Pradesh,2013,114.23,3446.6,106311.4,262.16,271.64,42.1,15.7,533.8,No
Uttar Pradesh,2025,19.42,2240.2,157765.9,406.48,151.46,26.6,69.4,557.94,No
Haryana,2016,183.35,2121.8,67101.8,197.32,172.78,16.6,29.0,370.1,No
Haryana,2001,109.98,3836.1,116728.1,142.13,164.18,40.1,38.1,306.31,No
Assam,2020,247.12,711.8,20579.5,127.72,13.15,27.9,60.2,140.87,No
Andhra Pradesh,2007,51.16,2101.1,198486.1,122.33,10.69,39.9,38.3,133.02,No
Tripura,2005,232.54,3472.8,94786.8,111.7,125.86,14.9,41.5,237.56,No
Mizoram,2015,164.31,3091.8,176023.7,44.99,177.92,28.5,31.7,222.91,No
Tripura,2011,226.4,649.4,72346.2,393.21,282.94,39.8,27.3,676.15,Yes
Kerala,2000,216.48,883.0,126045.4,49.26,296.31,43.3,26.1,345.57,Yes
Nagaland,2004,140.25,983.1,150743.3,251.87,201.92,41.0,28.2,453.79,Yes
Madhya Pradesh,2012,191.42,1513.9,180351.2,251.6,57.33,8.0,36.6,308.93,No
Haryana,2018,25.06,2794.9,44530.0,145.25,108.19,10.1,37.2,253.44,No
Bihar,2022,119.22,815.6,118023.7,415.34,7.88,10.1,51.3,423.22,No
Odisha,2023,59.24,867.6,70345.4,462.15,153.04,32.9,5.2,615.19,Yes
Haryana,2019,20.05,630.7,107968.0,415.55,56.32,49.3,10.1,471.87,Yes
Himachal Pradesh,2007,187.17,787.8,35019.5,428.37,190.33,33.8,7.8,618.7,Yes
Assam,2007,36.26,645.7,126678.4,481.94,160.46,40.4,20.6,642.4,Yes
Punjab,2001,116.99,1055.9,169439.3,35.86,143.13,9.2,84.6,178.99,No
Bihar,2017,196.32,793.3,6521.5,422.15,1.07,44.1,11.9,423.22,Yes
Karnataka,2002,101.5,884.3,196750.6,119.72,64.05,45.9,51.7,183.77,No
Maharashtra,2025,135.63,2074.5,176068.1,141.07,264.52,11.8,16.0,405.59,No
Kerala,2002,174.3,3823.5,185924.4,458.35,204.17,43.2,20.6,662.52,No
Haryana,2009,224.32,1450.7,17584.4,33.23,115.76,19.6,66.3,148.99,No
Maharashtra,2015,246.68,1399.5,111415.6,473.79,134.87,5.7,59.4,608.66,No
Andhra Pradesh,2009,236.73,3409.8,74557.4,295.24,288.25,8.7,67.5,583.49,No
Nagaland,2025,45.15,3032.4,92943.2,111.85,260.99,16.1,82.3,372.84,No
Assam,2001,203.12,1243.0,154429.1,60.32,103.55,47.3,97.3,163.87,No
Assam,2013,205.13,733.2,64394.1,387.14,19.1,31.5,24.6,406.24,Yes
Arunachal Pradesh,2004,215.81,778.2,127483.4,471.7,39.83,46.6,9.8,511.53,Yes
Goa,2022,225.42,1589.6,62055.8,314.77,124.4,23.3,6.8,439.17,No
Kerala,2020,4.86,2821.5,17755.8,232.31,205.73,29.1,74.1,438.04,No
Uttarakhand,2021,136.09,3853.5,42864.1,31.59,218.19,42.8,93.8,249.78,No
Meghalaya,2008,45.47,648.0,55332.4,290.18,125.22,36.6,24.8,415.4,Yes
Rajasthan,2020,222.58,1057.3,33710.1,184.41,162.53,36.4,61.5,346.94,No
Goa,2006,95.48,3981.3,136855.6,164.76,1.79,4.6,41.1,166.55,No
Gujarat,2002,20.58,1808.1,178669.4,197.81,98.71,32.6,72.9,296.52,No
Uttarakhand,2008,25.56,774.3,69322.6,78.51,240.6,42.6,9.0,319.11,Yes
Bihar,2014,160.05,805.1,23453.1,222.8,185.2,35.7,26.2,408.0,Yes
Nagaland,2006,165.59,1239.3,111790.0,389.68,118.27,19.0,74.4,507.95,No
Bihar,2017,196.32,793.3,6521.5,422.15,1.07,44.1,11.9,423.22,Yes
Jharkhand,2008,86.62,1188.9,54715.0,347.13,121.91,13.7,8.2,469.04,No
Madhya Pradesh,2020,42.34,743.0,80347.1,392.8,283.97,41.9,21.2,676.77,Yes
Sikkim,2009,70.92,1579.7,190688.6,274.71,43.75,35.0,31.8,318.46,No
Haryana,2018,20.63,899.8,188946.2,276.72,120.69,32.3,9.4,397.41,Yes
Madhya Pradesh,2009,60.95,957.0,79678.0,259.11,139.69,43.1,7.6,398.8,Yes
Chhattisgarh,2019,77.22,3302.9,124721.2,282.49,220.06,24.8,69.0,502.55,No
Gujarat,2025,118.37,551.0,72907.9,117.88,271.53,40.6,17.3,389.41,Yes
Meghalaya,2001,246.58,3412.5,138543.2,452.48,296.89,18.7,42.6,749.37,No
Uttar Pradesh,2001,12.57,681.8,18038.9,240.07,132.01,44.3,23.1,372.08,Yes
Manipur,2025,202.3,948.8,23578.4,318.55,159.05,48.3,13.1,477.6,Yes
Odisha,2010,29.05,736.0,135462.8,368.99,110.61,38.4,54.9,479.6,No
Sikkim,2013,93.34,3895.3,23817.9,298.07,1.9,35.5,43.0,299.97,No
West Bengal,2024,70.68,1355.7,113375.1,167.57,281.72,30.5,17.4,449.29,No
Uttar Pradesh,2010,194.68,3196.4,108972.3,10.89,119.01,31.4,49.5,129.9,No
West Bengal,2021,226.85,3595.7,185424.6,54.12,182.4,6.5,15.0,236.52,No
Andhra Pradesh,2006,84.7,3964.4,123650.4,149.48,62.6,40.8,63.6,212.08,No
Telangana,2025,124.44,3631.7,28901.7,13.16,36.56,25.1,47.6,49.72,No
Telangana,2016,158.64,2171.1,169918.1,226.63,116.51,1.1,95.9,343.14,No
Meghalaya,2014,144.59,1555.0,96682.8,64.24,170.99,9.5,75.0,235.23,No
Tamil Nadu,2007,223.11,1103.9,131770.1,428.67,283.32,1.8,97.1,711.99,No
Sikkim,2011,154.72,1603.3,120334.8,259.76,63.47,44.3,20.1,323.23,No
Karnataka,2004,186.25,893.1,91610.2,130.49,212.97,33.6,25.1,343.46,Yes
Haryana,2009,93.46,3679.5,86056.6,144.48,130.73,15.9,58.2,275.21,No
Uttarakhand,2000,185.95,2004.3,184620.5,301.78,94.35,16.0,70.8,396.13,No
Uttar Pradesh,2007,226.93,1642.5,115930.8,222.35,158.16,39.8,31.2,380.51,No
Meghalaya,2017,202.72,1728.5,8321.1,15.53,64.32,25.6,29.5,79.85,No
Arunachal Pradesh,2017,127.96,1279.8,42479.5,258.23,145.68,28.1,27.3,403.91,No
West Bengal,2023,101.35,1574.6,156352.5,498.59,188.82,32.8,79.9,687.41,No
Meghalaya,2009,121.15,528.0,169976.0,198.5,174.89,38.9,6.4,373.39,Yes
Telangana,2005,127.79,1002.5,157184.3,410.17,140.84,2.8,85.2,551.01,No
Madhya Pradesh,2010,8.3,1052.9,108191.3,304.68,61.64,25.9,57.5,366.32,No
West Bengal,2009,177.66,951.1,83430.0,115.84,188.31,39.2,11.2,304.15,Yes
Kerala,2000,216.48,883.0,126045.4,49.26,296.31,43.3,26.1,345.57,Yes
Odisha,2000,110.82,837.6,74650.0,479.12,268.74,14.0,79.2,747.86,No
Odisha,2003,28.34,2251.3,154436.7,28.55,49.67,16.9,32.3,78.22,No
Tripura,2012,66.95,3013.7,50393.5,496.43,129.45,44.5,81.5,625.88,No
Kerala,2000,216.48,883.0,126045.4,49.26,296.31,43.3,26.1,345.57,Yes
Assam,2001,249.91,3559.4,171158.1,55.69,79.74,11.5,33.9,135.43,No
Sikkim,2017,122.64,2387.0,17415.3,486.85,219.69,44.7,43.3,706.54,No
West Bengal,2022,47.23,3484.7,10602.2,144.29,211.72,49.3,85.2,356.01,No
Andhra Pradesh,2025,223.4,503.9,160385.5,450.91,49.62,33.9,21.1,500.53,Yes
Madhya Pradesh,2012,60.77,1903.1,14312.1,491.34,135.34,43.4,55.9,626.68,No
Tamil Nadu,2022,94.44,884.2,15433.3,250.3,136.68,37.3,27.3,386.98,Yes
Punjab,2006,222.09,522.1,76094.1,219.51,97.37,45.3,26.7,316.88,Yes
Assam,2005,2.63,956.0,159026.3,406.64,294.11,39.6,11.3,700.75,Yes
Telangana,2017,188.87,942.7,39267.3,384.91,98.42,36.0,23.0,483.33,Yes
Bihar,2005,130.02,907.3,110930.9,310.4,126.01,23.7,93.6,436.41,No
Goa,2023,20.68,3208.6,55260.0,125.55,187.58,3.2,39.2,313.13,No
Bihar,2014,160.05,805.1,23453.1,222.8,185.2,35.7,26.2,408.0,Yes
Manipur,2023,96.78,1409.2,197700.3,482.84,57.78,14.3,83.8,540.62,No
Himachal Pradesh,2007,187.17,787.8,35019.5,428.37,190.33,33.8,7.8,618.7,Yes
Tamil Nadu,2021,34.05,922.2,134916.9,214.86,128.18,45.7,29.4,343.04,Yes
Madhya Pradesh,2009,60.95,957.0,79678.0,259.11,139.69,43.1,7.6,398.8,Yes
Rajasthan,2014,25.41,3161.2,21678.7,312.93,72.53,4.6,97.1,385.46,No
Meghalaya,2010,177.18,553.3,189204.4,388.23,178.42,6.7,74.5,566.65,No
Madhya Pradesh,2015,121.96,864.1,58248.8,491.0,162.41,41.9,27.1,653.41,Yes
Madhya Pradesh,2020,42.34,743.0,80347.1,392.8,283.97,41.9,21.2,676.77,Yes
Uttar Pradesh,2009,6.08,1336.5,48736.7,35.13,93.19,31.0,96.8,128.32,No
Arunachal Pradesh,2009,162.2,2236.0,191365.0,49.99,53.66,36.5,49.6,103.65,No
Nagaland,2005,232.46,2757.9,81505.5,483.61,251.0,21.2,61.0,734.61,No
Madhya Pradesh,2015,139.12,2995.5,175533.1,11.9,123.67,15.4,68.2,135.57,No
Gujarat,2010,161.33,3157.5,183294.2,362.1,153.08,30.1,37.4,515.18,No
Gujarat,2008,215.93,575.9,118573.9,282.27,98.33,30.2,9.1,380.6,Yes
Tamil Nadu,2022,94.44,884.2,15433.3,250.3,136.68,37.3,27.3,386.98,Yes
Sikkim,2002,232.79,1258.2,122345.3,378.72,44.93,19.4,63.4,423.65,No
Uttarakhand,2011,42.3,2116.4,68568.7,225.58,251.06,32.6,15.2,476.64,No
Tamil Nadu,2013,179.34,997.0,51865.1,143.82,240.53,35.0,16.7,384.35,Yes
Nagaland,2004,140.25,983.1,150743.3,251.87,201.92,41.0,28.2,453.79,Yes
Haryana,2020,199.7,3697.5,180019.6,67.62,64.42,35.1,89.0,132.04,No
Chhattisgarh,2004,62.25,2085.9,106960.8,384.0,47.88,29.6,31.6,431.88,No
Uttarakhand,2008,25.56,774.3,69322.6,78.51,240.6,42.6,9.0,319.11,Yes
Karnataka,2013,129.13,2004.2,58342.6,276.14,293.76,21.0,75.2,569.9,No
Tripura,2012,66.95,3013.7,50393.5,496.43,129.45,44.5,81.5,625.88,No
Karnataka,2025,56.46,3659.6,7816.7,147.91,270.83,10.7,50.8,418.74,No
Bihar,2017,196.32,793.3,6521.5,422.15,1.07,44.1,11.9,423.22,Yes
Uttar Pradesh,2020,151.62,3911.3,129532.6,336.99,249.74,6.9,73.5,586.73,No
Goa,2001,165.71,2081.5,1193.7,198.97,240.05,21.6,60.8,439.02,No
Punjab,2006,222.09,522.1,76094.1,219.51,97.37,45.3,26.7,316.88,Yes
Jharkhand,2003,221.42,2230.1,169504.3,24.93,250.8,18.0,56.5,275.73,No
